Tabell 1 Arbetsmarknadsställningen för yrkesexamina 1-1,5 år efter examen för läsåret 2018/19. Män. Antal och andel i procent.;;;;;;;;;;
Redovisar antal examinerade i undersökningspopulationen. Detta skiljer sig från antal examinerade i baspopulationen.;;;;;;;;;;
Endast antal över 20 personer redovisas.;;;;;;;;;;
;;;;;;;;;;
;;;Arbetsmarknadsställning;;;;;;;
Läsår;Yrkesexamensprogram;"Antal
examinerade";"Antal
etablerade";"Andel
etablerade";"Antal
osäker";"Andel
osäker";"Antal
svag";"Andel
svag";"Antal
utanför";"Andel
utanför"
2018;Agronomexamen/motsv;10;.;.;.;.;.;.;.;.
2018;Apotekarexamen/motsv;36;30;83;.;.;.;.;.;.
2018;Arbetsterapeutexamen/motsv;60;54;90;.;.;.;.;.;.
2018;Arkitektexamen/motsv;97;83;86;.;.;.;.;.;.
2018;Audionomexamen/motsv;14;.;.;.;.;.;.;.;.
2018;Barnmorskeexamen/motsv;1;.;.;.;.;.;.;.;.
2018;"Biomedicinsk
analytikerexamen/motsv";59;57;97;.;.;.;.;.;.
2018;Brandingenjörsexamen/motsv;12;.;.;.;.;.;.;.;.
2018;Civilekonomexamen;271;245;90;.;.;.;.;.;.
2018;Civilingenjörsexamen/motsv;2468;2262;92;93;4;58;2;55;2
2018;Dietistexamen;3;.;.;.;.;.;.;.;.
2018;Folkhögskollärarexamen/motsv;8;.;.;.;.;.;.;.;.
2018;Fysioterapeutexamen/motsv;150;134;89;.;.;.;.;.;.
2018;Förskollärarexamen;124;118;95;.;.;.;.;.;.
2018;Grundlärarexamen;393;377;96;.;.;.;.;.;.
2018;Hortonomexamen/motsv;1;.;.;.;.;.;.;.;.
2018;Högskoleingenjörsexamen/motsv;1309;1200;92;57;4;40;3;.;.
2018;Juristexamen/motsv;495;451;91;.;.;.;.;.;.
2018;Jägmästarexamen/motsv;18;.;.;.;.;.;.;.;.
2018;Landskapsarkitektexamen/motsv;12;.;.;.;.;.;.;.;.
2018;Landskapsingenjörsexamen/motsv;13;.;.;.;.;.;.;.;.
2018;Lantmästarexamen/motsv;32;26;81;.;.;.;.;.;.
2018;Logopedexamen/motsv;7;.;.;.;.;.;.;.;.
2018;Läkarexamen/motsv;534;500;94;.;.;.;.;.;.
2018;Lärarexamen;242;220;91;.;.;.;.;.;.
2018;Officersexamen;96;91;95;.;.;.;.;.;.
2018;Optikerexamen;6;.;.;.;.;.;.;.;.
2018;Ortopedingenjörsexamen/motsv;9;.;.;.;.;.;.;.;.
2018;Psykologexamen/motsv;166;146;88;.;.;.;.;.;.
2018;Psykoterapeutexamen/motsv;32;30;94;.;.;.;.;.;.
2018;Receptarieexamen/motsv;31;30;97;.;.;.;.;.;.
2018;Röntgensjuksköterskeexamen;43;38;88;.;.;.;.;.;.
2018;Sjuksköterskeexamen/motsv;546;510;93;.;.;.;.;.;.
2018;Sjöingenjörsexamen/motsv;38;28;74;.;.;.;.;.;.
2018;Sjökaptensexamen/motsv;56;25;45;.;.;.;.;.;.
2018;Skogsmästarexamen/motsv;20;.;.;.;.;.;.;.;.
2018;Skogsteknikerexamen/motsv;12;.;.;.;.;.;.;.;.
2018;Socionomexamen/motsv;278;253;91;.;.;.;.;.;.
2018;Specialistsjuksköterskeexamen;284;281;99;.;.;.;.;.;.
2018;Speciallärarexamen;37;35;95;.;.;.;.;.;.
2018;Specialpedagogexamen/motsv;28;28;100;.;.;.;.;.;.
2018;"Studie- och
yrkesvägledarexamen/motsv";23;.;.;.;.;.;.;.;.
2018;Tandhygienistexamen/motsv;12;.;.;.;.;.;.;.;.
2018;Tandläkarexamen/motsv;75;66;88;.;.;.;.;.;.
2018;Tandteknikerexamen;8;.;.;.;.;.;.;.;.
2018;Trädgårdsingenjörsexamen/motsv;4;.;.;.;.;.;.;.;.
2018;Veterinärexamen/motsv;5;.;.;.;.;.;.;.;.
2018;Yrkeshögskoleexamen;1;.;.;.;.;.;.;.;.
2018;Yrkeslärarexamen;182;174;96;.;.;.;.;.;.
2018;"Yrkesteknisk
högskoleexamen/motsv";1;.;.;.;.;.;.;.;.
2018;Ämneslärarexamen;913;823;90;62;7;26;3;.;.
