"No.","Time","Source","Destination","Protocol","Length","Info"
"40","2.367555","192.168.50.133","34.158.0.131","TCP","764","56009  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=1026 Len=710"
"47","2.392406","34.158.0.131","192.168.50.133","TCP","109","4070  >  56009 [PSH, ACK] Seq=1 Ack=711 Win=16 Len=55"
"53","2.439355","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=711 Ack=56 Win=1025 Len=0"
"22913","62.448727","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=711 Ack=56 Win=1025 Len=11"
"22914","62.473525","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=56 Ack=722 Win=16 Len=11"
"22915","62.525420","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=722 Ack=67 Win=1025 Len=0"
"59813","106.516526","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=67 Ack=722 Win=16 Len=11"
"59814","106.565273","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=722 Ack=78 Win=1025 Len=0"
"88322","166.577644","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=722 Ack=78 Win=1025 Len=11"
"88323","166.603814","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=78 Ack=733 Win=16 Len=11"
"88327","166.657566","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=733 Ack=89 Win=1025 Len=0"
"118294","226.527102","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=89 Ack=733 Win=16 Len=11"
"118295","226.577956","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=733 Ack=100 Win=1025 Len=0"
"148258","286.583857","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=733 Ack=100 Win=1025 Len=11"
"148259","286.608354","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=100 Ack=744 Win=16 Len=11"
"148261","286.661640","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=744 Ack=111 Win=1025 Len=0"
"178398","346.534924","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=111 Ack=744 Win=16 Len=11"
"178399","346.581524","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=744 Ack=122 Win=1025 Len=0"
"211590","406.593837","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=744 Ack=122 Win=1025 Len=11"
"211598","406.625386","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=122 Ack=755 Win=16 Len=11"
"211606","406.669754","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=755 Ack=133 Win=1025 Len=0"
"254408","466.544541","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=133 Ack=755 Win=16 Len=11"
"254423","466.599376","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=755 Ack=144 Win=1025 Len=0"
"296612","526.607502","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=755 Ack=144 Win=1025 Len=11"
"296619","526.631941","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=144 Ack=766 Win=16 Len=11"
"296633","526.683541","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=766 Ack=155 Win=1025 Len=0"
"334018","586.554290","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=155 Ack=766 Win=16 Len=11"
"334025","586.597712","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=766 Ack=166 Win=1025 Len=0"
"375789","646.606369","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=766 Ack=166 Win=1025 Len=11"
"375796","646.630840","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=166 Ack=777 Win=16 Len=11"
"375811","646.681287","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=777 Ack=177 Win=1025 Len=0"
"418389","706.564516","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=177 Ack=777 Win=16 Len=11"
"418401","706.610084","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=777 Ack=188 Win=1025 Len=0"
"462150","766.623244","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=777 Ack=188 Win=1025 Len=11"
"462160","766.647826","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=188 Ack=788 Win=16 Len=11"
"462178","766.698196","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=788 Ack=199 Win=1025 Len=0"
"504126","826.574391","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=199 Ack=788 Win=16 Len=11"
"504141","826.629359","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=788 Ack=210 Win=1025 Len=0"
"542582","886.632831","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=788 Ack=210 Win=1025 Len=11"
"542588","886.657442","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=210 Ack=799 Win=16 Len=11"
"542598","886.709328","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=799 Ack=221 Win=1025 Len=0"
"583911","946.584927","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=221 Ack=799 Win=16 Len=11"
"583923","946.631083","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=799 Ack=232 Win=1025 Len=0"
"629169","1006.644650","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=799 Ack=232 Win=1025 Len=11"
"629175","1006.669339","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=232 Ack=810 Win=16 Len=11"
"629200","1006.720451","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=810 Ack=243 Win=1025 Len=0"
"671738","1066.595138","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=243 Ack=810 Win=16 Len=11"
"671750","1066.640742","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=810 Ack=254 Win=1025 Len=0"
"713957","1126.650519","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=810 Ack=254 Win=1025 Len=11"
"713961","1126.675211","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=254 Ack=821 Win=16 Len=11"
"713970","1126.727999","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=821 Ack=265 Win=1025 Len=0"
"751701","1186.607300","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=265 Ack=821 Win=16 Len=11"
"751710","1186.657523","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=821 Ack=276 Win=1025 Len=0"
"790449","1246.660104","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=821 Ack=276 Win=1025 Len=11"
"790454","1246.684847","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=276 Ack=832 Win=16 Len=11"
"790466","1246.736651","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=832 Ack=287 Win=1025 Len=0"
"831718","1306.615849","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=287 Ack=832 Win=16 Len=11"
"831726","1306.656663","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=832 Ack=298 Win=1024 Len=0"
"872585","1366.680283","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=832 Ack=298 Win=1024 Len=11"
"872588","1366.705401","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=298 Ack=843 Win=16 Len=11"
"872597","1366.757237","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=843 Ack=309 Win=1024 Len=0"
"911700","1426.626194","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=309 Ack=843 Win=16 Len=11"
"911711","1426.668824","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=843 Ack=320 Win=1024 Len=0"
"953478","1486.679803","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=843 Ack=320 Win=1024 Len=11"
"953482","1486.705084","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=320 Ack=854 Win=16 Len=11"
"953491","1486.755760","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=854 Ack=331 Win=1024 Len=0"
"992435","1546.635892","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=331 Ack=854 Win=16 Len=11"
"992451","1546.687498","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=854 Ack=342 Win=1024 Len=0"
"1035831","1606.691263","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=854 Ack=342 Win=1024 Len=11"
"1035837","1606.715818","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=342 Ack=865 Win=16 Len=11"
"1035851","1606.768034","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=865 Ack=353 Win=1024 Len=0"
"1078639","1666.646102","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=353 Ack=865 Win=16 Len=11"
"1078648","1666.692088","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=865 Ack=364 Win=1024 Len=0"
"1119695","1726.707404","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=865 Ack=364 Win=1024 Len=11[Malformed Packet]"
"1119706","1726.732017","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=364 Ack=876 Win=16 Len=11"
"1119724","1726.784423","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=876 Ack=375 Win=1024 Len=0"
"1161483","1786.655887","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=375 Ack=876 Win=16 Len=11"
"1161489","1786.698661","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=876 Ack=386 Win=1024 Len=0"
"1204380","1846.719224","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=876 Ack=386 Win=1024 Len=11"
"1204388","1846.744470","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=386 Ack=887 Win=16 Len=11"
"1204402","1846.797187","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=887 Ack=397 Win=1024 Len=0"
"1245925","1906.666305","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=397 Ack=887 Win=16 Len=11"
"1245934","1906.717117","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=887 Ack=408 Win=1024 Len=0"
"1288876","1966.721474","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=887 Ack=408 Win=1024 Len=11"
"1288883","1966.746179","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=408 Ack=898 Win=16 Len=11"
"1288898","1966.798345","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=898 Ack=419 Win=1024 Len=0"
"1331974","2026.677029","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=419 Ack=898 Win=16 Len=11"
"1331992","2026.731936","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=898 Ack=430 Win=1024 Len=0"
"1372290","2086.731237","192.168.50.133","34.158.0.131","TCP","65","56009  >  4070 [PSH, ACK] Seq=898 Ack=430 Win=1024 Len=11"
"1372295","2086.755812","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=430 Ack=909 Win=16 Len=11"
"1372303","2086.806134","192.168.50.133","34.158.0.131","TCP","54","56009  >  4070 [ACK] Seq=909 Ack=441 Win=1024 Len=0"
"1412769","2146.687734","34.158.0.131","192.168.50.133","TCP","65","4070  >  56009 [PSH, ACK] Seq=441 Ack=909 Win=16 Len=11"
