"No.","Time","Source","Destination","Protocol","Length","Info"
"590","25.265523","192.168.50.133","34.158.0.131","TCP","690","55697  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=1022 Len=636"
"600","25.291340","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=1 Ack=637 Win=16 Len=55"
"608","25.345839","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=637 Ack=56 Win=1022 Len=0"
"4177","26.546179","192.168.50.133","34.158.0.131","TCP","681","55697  >  4070 [PSH, ACK] Seq=637 Ack=56 Win=1022 Len=627"
"4186","26.571686","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=56 Ack=1264 Win=16 Len=55"
"4196","26.623890","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1264 Ack=111 Win=1022 Len=0"
"5207","86.624915","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=1264 Ack=111 Win=1022 Len=11"
"5208","86.650114","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=111 Ack=1275 Win=16 Len=11"
"5209","86.702544","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1275 Ack=122 Win=1022 Len=0"
"5599","109.757016","192.168.50.133","34.158.0.131","TCP","687","55697  >  4070 [PSH, ACK] Seq=1275 Ack=122 Win=1022 Len=633"
"5601","109.782590","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=122 Ack=1908 Win=16 Len=55"
"5605","109.837738","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1908 Ack=177 Win=1022 Len=0"
"12084","116.990758","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=177 Ack=1908 Win=16 Len=11"
"12085","117.031793","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1908 Ack=188 Win=1022 Len=0"
"13011","177.073895","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=1908 Ack=188 Win=1022 Len=11"
"13012","177.099052","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=188 Ack=1919 Win=16 Len=11"
"13013","177.151151","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1919 Ack=199 Win=1022 Len=0"
"14901","237.004000","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=199 Ack=1919 Win=16 Len=11"
"14904","237.048344","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1919 Ack=210 Win=1022 Len=0"
"19196","297.064300","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=1919 Ack=210 Win=1022 Len=11"
"19197","297.089164","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=210 Ack=1930 Win=16 Len=11"
"19198","297.141577","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=1930 Ack=221 Win=1026 Len=0"
"19312","300.578036","192.168.50.133","34.158.0.131","TCP","619","55697  >  4070 [PSH, ACK] Seq=1930 Ack=221 Win=1026 Len=565"
"19320","300.603316","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=221 Ack=2495 Win=16 Len=55"
"19330","300.656358","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=2495 Ack=276 Win=1026 Len=0"
"26456","357.017193","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=276 Ack=2495 Win=16 Len=11"
"26459","357.058567","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=2495 Ack=287 Win=1026 Len=0"
"35329","417.071894","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=2495 Ack=287 Win=1026 Len=11"
"35330","417.097063","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=287 Ack=2506 Win=16 Len=11"
"35335","417.149445","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=2506 Ack=298 Win=1026 Len=0"
"36119","453.936145","192.168.50.133","34.158.0.131","TCP","621","55697  >  4070 [PSH, ACK] Seq=2506 Ack=298 Win=1026 Len=567"
"36120","453.961573","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=298 Ack=3073 Win=16 Len=55"
"36124","454.017326","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=3073 Ack=353 Win=1026 Len=0"
"39770","477.030219","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=353 Ack=3073 Win=16 Len=11"
"39771","477.085390","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=3073 Ack=364 Win=1026 Len=0"
"40738","537.142520","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=3073 Ack=364 Win=1026 Len=11"
"40739","537.167592","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=364 Ack=3084 Win=16 Len=11"
"40740","537.220337","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=3084 Ack=375 Win=1026 Len=0"
"41841","597.044772","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=375 Ack=3084 Win=16 Len=11"
"41844","597.098327","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=3084 Ack=386 Win=1026 Len=0"
"42376","627.172933","192.168.50.133","34.158.0.131","TCP","621","55697  >  4070 [PSH, ACK] Seq=3084 Ack=386 Win=1026 Len=567"
"42382","627.198706","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=386 Ack=3651 Win=16 Len=55"
"42385","627.250961","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=3651 Ack=441 Win=1026 Len=0"
"47127","687.301728","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=3651 Ack=441 Win=1026 Len=11"
"47130","687.326859","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=441 Ack=3662 Win=16 Len=11"
"47131","687.378845","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=3662 Ack=452 Win=1025 Len=0"
