No.,Time,Source,Destination,Protocol,Length,Info,lengths
40,1.857229,192.168.50.133,34.158.0.131,TCP,724,"55697  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=1022 Len=670",670
41,1.882002,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1 Ack=671 Win=16 Len=55",55
125,1.927688,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=671 Ack=56 Win=1022 Len=0,0
7791,61.940085,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=671 Ack=56 Win=1022 Len=11",11
7792,61.964512,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=56 Ack=682 Win=16 Len=11",11
7793,62.016088,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=682 Ack=67 Win=1022 Len=0,0
7837,66.539696,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=67 Ack=682 Win=16 Len=11[Malformed Packet]",11
7838,66.587125,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=682 Ack=78 Win=1022 Len=0,0
8208,126.604201,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=682 Ack=78 Win=1022 Len=11",11
8209,126.62894,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=78 Ack=693 Win=16 Len=11",11
8210,126.682196,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=693 Ack=89 Win=1022 Len=0,0
8415,158.122243,192.168.50.133,34.158.0.131,TCP,703,"55697  >  4070 [PSH, ACK] Seq=693 Ack=89 Win=1022 Len=649",649
8416,158.147493,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=89 Ack=1342 Win=16 Len=55",55
8429,158.196803,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=1342 Ack=144 Win=1022 Len=0,0
17864,186.552984,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=144 Ack=1342 Win=16 Len=11",11
17865,186.599196,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=1342 Ack=155 Win=1022 Len=0,0
19345,246.613687,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=1342 Ack=155 Win=1022 Len=11",11
19346,246.638374,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=155 Ack=1353 Win=16 Len=11",11
19347,246.691954,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=1353 Ack=166 Win=1022 Len=0,0
19818,306.567372,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=166 Ack=1353 Win=16 Len=11",11
19819,306.60915,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=1353 Ack=177 Win=1022 Len=0,0
19917,325.933549,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=1353 Ack=177 Win=1022 Len=648",648
19918,325.958702,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=177 Ack=2001 Win=16 Len=55",55
19920,326.003839,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=2001 Ack=232 Win=1026 Len=0,0
23652,386.038776,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=2001 Ack=232 Win=1026 Len=11",11
23653,386.065111,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=232 Ack=2012 Win=16 Len=11",11
23654,386.116512,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=2012 Ack=243 Win=1026 Len=0,0
