No.,Time,Source,Destination,Protocol,Length,Info
40,1.857229,192.168.50.133,34.158.0.131,TCP,724,"55697  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=1022 Len=670"
41,1.882002,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1 Ack=671 Win=16 Len=55"
7791,61.940085,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=671 Ack=56 Win=1022 Len=11"
7792,61.964512,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=56 Ack=682 Win=16 Len=11"
7837,66.539696,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=67 Ack=682 Win=16 Len=11[Malformed Packet]"
8208,126.604201,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=682 Ack=78 Win=1022 Len=11"
8209,126.62894,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=78 Ack=693 Win=16 Len=11"
8415,158.122243,192.168.50.133,34.158.0.131,TCP,703,"55697  >  4070 [PSH, ACK] Seq=693 Ack=89 Win=1022 Len=649"
8416,158.147493,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=89 Ack=1342 Win=16 Len=55"
17864,186.552984,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=144 Ack=1342 Win=16 Len=11"
19345,246.613687,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=1342 Ack=155 Win=1022 Len=11"
19346,246.638374,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=155 Ack=1353 Win=16 Len=11"
19818,306.567372,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=166 Ack=1353 Win=16 Len=11"
19917,325.933549,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=1353 Ack=177 Win=1022 Len=648"
19918,325.958702,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=177 Ack=2001 Win=16 Len=55"
23652,386.038776,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=2001 Ack=232 Win=1026 Len=11"
23653,386.065111,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=232 Ack=2012 Win=16 Len=11"
23857,426.580513,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=243 Ack=2012 Win=16 Len=11"
24244,486.672005,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=2012 Ack=254 Win=1026 Len=11"
24245,486.696707,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=254 Ack=2023 Win=16 Len=11"
24525,546.594054,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=265 Ack=2023 Win=16 Len=11"
24643,567.547187,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=2023 Ack=276 Win=1026 Len=648"
24645,567.572659,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=276 Ack=2671 Win=16 Len=55"
30042,627.643542,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=2671 Ack=331 Win=1026 Len=11"
30043,627.668131,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=331 Ack=2682 Win=16 Len=11"
30278,666.607694,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=342 Ack=2682 Win=16 Len=11"
30922,726.706976,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=2682 Ack=353 Win=1026 Len=11"
30923,726.731427,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=353 Ack=2693 Win=16 Len=11"
31209,768.756313,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=2693 Ack=364 Win=1026 Len=648"
31210,768.781399,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=364 Ack=3341 Win=16 Len=55"
36716,786.621259,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=419 Ack=3341 Win=16 Len=11"
37057,846.703922,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=3341 Ack=430 Win=1026 Len=11"
37058,846.728588,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=430 Ack=3352 Win=16 Len=11"
37343,906.634439,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=441 Ack=3352 Win=16 Len=11"
37444,931.895013,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=3352 Ack=452 Win=1026 Len=648"
37445,931.92227,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=452 Ack=4000 Win=16 Len=55"
41776,992.004242,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=4000 Ack=507 Win=1025 Len=11"
41777,992.029041,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=507 Ack=4011 Win=16 Len=11"
42104,1026.647903,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=518 Ack=4011 Win=16 Len=11"
